"source","target","scope"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","junit:junit:4.7","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","xpp3:xpp3:1.1.4c","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","org.apache.directory.server:apacheds-test-framework:1.5.6","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","org.netbeans.api:org-netbeans-api-visual:RELEASE70","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","net.liftweb:lift-common_2.8.0:2.3","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","org.apache.mina:mina-core:2.0.4","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","commons-pool:commons-pool:1.5.6","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M7","org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M7","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M7","net.liftweb:lift-amqp_2.8.0:2.3","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M7","org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M7","org.apache.directory.shared:shared-i18n:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-i18n:1.0.0-M7","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M7","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M7","org.apache.directory.shared:shared-i18n:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M7","org.apache.directory.shared:shared-ldap-model:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M7","org.apache.directory.shared:shared-util:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M7","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","org.apache.mina:mina-core:2.0.4","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","org.apache.directory.shared:shared-i18n:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","commons-collections:commons-collections:3.2.1","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","commons-lang:commons-lang:2.6","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","org.apache.directory.shared:shared-ldap-model:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","org.apache.directory.shared:shared-asn1-ber:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","org.apache.directory.shared:shared-asn1-api:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M7","org.apache.directory.shared:shared-util:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-util:1.0.0-M7","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-util:1.0.0-M7","org.apache.directory.shared:shared-i18n:1.0.0-M7","Compile"
"org.apache.directory.shared:shared-asn1-api:1.0.0-M7","org.slf4j:slf4j-api:1.6.1","Compile"
